Year,Box_Office_Rank,Name, Worldwide , Domestic , Foreign 
1998,70,A Night at the Roxbury,"$30,331,740.00 ","$30,331,165.00 ", - 
1998,71,Wild Things,"$30,147,739.00 ","$30,147,739.00 ", - 
1998,72,Madeline,"$29,967,750.00 ","$29,967,750.00 ", - 
1998,73,Spice World,"$29,353,125.00 ","$29,342,592.00 ", - 
1998,74,Bulworth,"$29,202,884.00 ","$26,528,185.00 ","$2,674,699.00 "
1998,75,Grease 1998 Re-release,"$28,411,018.00 ","$28,411,018.00 ", - 
1998,76,Dark City,"$27,200,316.00 ","$14,378,331.00 ","$12,821,985.00 "
1998,77,The Big Hit,"$27,007,143.00 ","$27,007,143.00 ", - 
1998,78,Paulie,"$26,875,268.00 ","$26,875,268.00 ", - 
1998,79,One True Thing,"$26,616,840.00 ","$23,245,840.00 ","$3,371,000.00 "
1998,80,Can't Hardly Wait,"$25,605,015.00 ","$25,605,015.00 ", - 
1998,81,Fallen,"$25,232,289.00 ","$25,232,289.00 ", - 
1998,82,American History X,"$23,875,127.00 ","$6,719,864.00 ","$17,155,263.00 "
1998,83,The Avengers,"$23,384,939.00 ","$23,384,939.00 ", - 
1998,84,The Players Club,"$23,261,485.00 ","$23,047,939.00 ","$213,546.00 "
1998,85,Rounders,"$22,912,409.00 ","$22,912,409.00 ", - 
1998,86,Beloved,"$22,852,487.00 ","$22,852,487.00 ", - 
1998,87,The Borrowers,"$22,619,589.00 ","$22,619,589.00 ", - 
1998,88,Quest for Camelot,"$22,510,798.00 ","$22,510,798.00 ", - 
1998,89,He Got Game,"$21,567,853.00 ","$21,567,853.00 ", - 
1998,90,Vampires,"$20,308,772.00 ","$20,308,772.00 ", - 
1998,91,Mafia!,"$19,889,299.00 ","$19,889,299.00 ", - 
1998,92,Hard Rain,"$19,870,567.00 ","$19,870,567.00 ", - 
1998,93,Species II,"$19,221,939.00 ","$19,221,939.00 ", - 
1998,94,The Replacement Killers,"$19,204,929.00 ","$19,204,929.00 ", - 
1998,95,The Odd Couple II,"$18,912,328.00 ","$18,912,328.00 ", - 
1998,96,Mr. Nice Guy,"$18,814,720.00 ","$12,716,953.00 ","$6,097,767.00 "
1998,97,Simon Birch,"$18,253,415.00 ","$18,253,415.00 ", - 
1998,98,Disturbing Behavior,"$17,514,980.00 ","$17,514,980.00 ", - 
1998,99,Half Baked,"$17,460,020.00 ","$17,460,020.00 ", - 
1998,100,Rushmore,"$17,105,219.00 ","$17,105,219.00 ", - 
1998,101,54,"$16,757,163.00 ","$16,757,163.00 ", - 
1998,102,A Simple Plan,"$16,316,273.00 ","$16,316,273.00 ", - 
1998,103,Dance with Me,"$15,923,122.00 ","$15,923,122.00 ", - 
1998,104,Living Out Loud,"$15,610,299.00 ","$12,905,901.00 ","$2,704,398.00 "
1998,105,Dead Man on Campus,"$15,064,946.00 ","$15,064,946.00 ", - 
1998,106,Twilight,"$15,055,091.00 ","$15,055,091.00 ", - 
1998,107,The Wizard of Oz 1998 Re-release,"$14,836,984.00 ","$14,836,984.00 ", - 
1998,108,Soldier,"$14,594,226.00 ","$14,594,226.00 ", - 
1998,109,Les Misérables,"$14,096,321.00 ","$14,096,321.00 ", - 
1998,110,Blues Brothers 2000,"$14,051,384.00 ","$14,051,384.00 ", - 
1998,111,Desperate Measures,"$13,806,137.00 ","$13,806,137.00 ", - 
1998,112,Hush,"$13,605,304.00 ","$13,583,690.00 ","$21,614.00 "
1998,113,Africa's Elephant Kingdom,"$13,485,455.00 ","$13,485,455.00 ", - 
1998,114,Black Dog,"$12,951,088.00 ","$12,951,088.00 ", - 
1998,115,Senseless,"$12,874,899.00 ","$12,874,899.00 ", - 
1998,116,Why Do Fools Fall in Love,"$12,461,773.00 ","$12,461,773.00 ", - 
1998,117,Barney's Great Adventure,"$12,218,638.00 ","$12,218,638.00 ", - 
1998,118,I'll Be Home for Christmas,"$12,214,338.00 ","$12,214,338.00 ", - 
1998,119,Holy Man,"$12,069,719.00 ","$12,069,719.00 ", - 
