Year,Box_Office_Rank,Name,   Worldwide   ,   Domestic   ,   Foreign   
2001,41,Jimmy Neutron: Boy Genius," $102,992,536.00 "," $80,936,232.00 "," $22,056,304.00 "
2001,42,Don't Say a Word," $100,020,092.00 "," $55,001,642.00 "," $45,018,450.00 "
2001,43,Evolution," $98,376,292.00 "," $38,345,494.00 "," $60,030,798.00 "
2001,44,I Am Sam," $97,818,139.00 "," $40,311,852.00 "," $57,506,287.00 "
2001,45,Enemy at the Gates," $96,976,270.00 "," $51,401,758.00 "," $45,574,512.00 "
2001,46,The Wedding Planner," $94,728,529.00 "," $60,400,856.00 "," $34,327,673.00 "
2001,47,Behind Enemy Lines," $91,753,202.00 "," $58,856,790.00 "," $32,896,412.00 "
2001,48,Gosford Park," $87,754,044.00 "," $41,308,615.00 "," $46,445,429.00 "
2001,49,Ali," $87,713,825.00 "," $58,203,105.00 "," $29,510,720.00 "
2001,50,Rat Race," $85,498,534.00 "," $56,618,055.00 "," $28,880,479.00 "
2001,51,Final Fantasy: The Spirits Within," $85,131,830.00 "," $32,131,830.00 "," $53,000,000.00 "
2001,52,The Animal," $84,772,742.00 "," $57,743,062.00 "," $27,029,680.00 "
2001,53,Blow," $83,282,296.00 "," $52,990,775.00 "," $30,291,521.00 "
2001,54,Exit Wounds," $79,958,599.00 "," $51,758,599.00 "," $28,200,000.00 "
2001,55,Serendipity," $77,516,304.00 "," $50,294,317.00 "," $27,221,987.00 "
2001,56,Kate & Leopold," $76,019,048.00 "," $47,121,859.00 "," $28,897,189.00 "
2001,57,Manitou's Shoe," $75,482,094.00 ",," $75,482,094.00 "
2001,58,From Hell," $74,558,115.00 "," $31,602,566.00 "," $42,955,549.00 "
2001,59,The One," $72,689,126.00 "," $43,905,746.00 "," $28,783,380.00 "
2001,60,The Royal Tenenbaums," $71,441,250.00 "," $52,364,010.00 "," $19,077,240.00 "
2001,61,Down to Earth," $71,186,502.00 "," $64,186,502.00 "," $7,000,000.00 "
2001,62,Brotherhood of the Wolf," $70,752,904.00 "," $11,260,096.00 "," $59,492,808.00 "
2001,63,Thir13en Ghosts," $68,467,960.00 "," $41,867,960.00 "," $26,600,000.00 "
2001,64,Pokémon 3 the Movie: Spell of the Unown," $68,411,275.00 "," $17,052,128.00 "," $51,359,147.00 "
2001,65,Bandits," $67,631,903.00 "," $41,575,141.00 "," $26,056,762.00 "
2001,66,Not Another Teen Movie," $66,468,332.00 "," $38,252,284.00 "," $28,216,048.00 "
2001,67,Sweet November," $65,754,228.00 "," $25,288,103.00 "," $40,466,125.00 "
2001,68,K-PAX," $65,001,485.00 "," $50,338,485.00 "," $14,663,000.00 "
2001,69,Kiss of the Dragon," $64,437,847.00 "," $36,845,124.00 "," $27,592,723.00 "
2001,70,Captain Corelli's Mandolin," $62,112,895.00 "," $25,543,895.00 "," $36,569,000.00 "
2001,71,Zoolander," $60,780,981.00 "," $45,172,250.00 "," $15,608,731.00 "
2001,72,The Crimson Rivers," $60,094,966.00 "," $594,966.00 "," $59,500,000.00 "
2001,73,Jeepers Creepers," $59,217,789.00 "," $37,904,175.00 "," $21,313,614.00 "
2001,74,Heartbreakers," $57,756,408.00 "," $40,336,607.00 "," $17,419,801.00 "
2001,75,15 Minutes," $56,359,980.00 "," $24,403,552.00 "," $31,956,428.00 "
2001,76,Driven," $54,744,738.00 "," $32,720,065.00 "," $22,024,673.00 "
2001,77,Domestic Disturbance," $54,249,294.00 "," $45,246,095.00 "," $9,003,199.00 "
2001,78,The Closet," $50,104,745.00 "," $6,678,894.00 "," $43,425,851.00 "
2001,79,Monster's Ball," $44,909,486.00 "," $31,273,922.00 "," $13,635,564.00 "
2001,80,Recess: School's Out," $44,460,850.00 "," $36,706,141.00 "," $7,754,709.00 "
2001,81,Hardball," $44,102,389.00 "," $40,222,729.00 "," $3,879,660.00 "
2001,82,In the Bedroom," $43,368,779.00 "," $35,930,604.00 "," $7,438,175.00 "
2001,83,See Spot Run," $43,057,552.00 "," $33,357,476.00 "," $9,700,076.00 "
2001,84,Shaolin Soccer," $42,776,760.00 "," $489,600.00 "," $42,287,160.00 "
2001,85,Black Knight," $39,976,235.00 "," $33,426,971.00 "," $6,549,264.00 "
2001,86,Memento," $39,723,096.00 "," $25,544,867.00 "," $14,178,229.00 "
2001,87,Crocodile Dundee in Los Angeles," $39,438,674.00 "," $25,635,682.00 "," $13,802,992.00 "
2001,88,Haunted Castle," $39,093,166.00 "," $13,651,656.00 "," $25,441,510.00 "
2001,89,Someone Like You," $38,689,940.00 "," $27,343,067.00 "," $11,346,873.00 "
2001,90,What's the Worst That Could Happen?," $38,464,131.00 "," $32,269,834.00 "," $6,194,297.00 "
2001,91,The Majestic," $37,317,558.00 "," $27,807,266.00 "," $9,510,292.00 "
2001,92,Valentine," $36,684,136.00 "," $20,384,136.00 "," $16,300,000.00 "
2001,93,Joy Ride," $36,642,838.00 "," $21,974,919.00 "," $14,667,919.00 "
2001,94,Riding in Cars with Boys," $35,743,308.00 "," $30,165,536.00 "," $5,577,772.00 "
2001,95,Original Sin," $35,402,320.00 "," $16,534,221.00 "," $18,868,099.00 "
2001,96,Jay and Silent Bob Strike Back," $33,788,161.00 "," $30,085,147.00 "," $3,703,014.00 "
2001,97,And Your Mother Too," $33,616,692.00 "," $13,839,658.00 "," $19,777,034.00 "
2001,98,The Musketeer," $32,533,802.00 "," $27,073,640.00 "," $5,460,162.00 "
2001,99,Double Take," $31,603,059.00 "," $29,831,583.00 "," $1,771,476.00 "
2001,100,How High," $31,283,740.00 "," $31,178,740.00 "," $105,000.00 "
2001,101,Beauty and the Beast 2000 IMAX Release," $31,033,346.00 "," $25,487,190.00 "," $5,546,156.00 "
2001,102,Joe Dirt," $30,987,695.00 "," $27,087,695.00 "," $3,900,000.00 "
